Date,Open,High,Low,Close,Volume,Currency
2016-12-01,1175.1,1178.4,1162.2,1169.4,230283,USD
2016-12-02,1174.3,1180.3,1168.4,1177.8,175970,USD
2016-12-05,1182.6,1190.2,1158.6,1176.5,221458,USD
2016-12-06,1172.8,1177.1,1168.1,1170.1,137614,USD
2016-12-07,1171.4,1182.3,1167.2,1177.5,145807,USD
2016-12-08,1176.1,1180.7,1170.9,1172.4,147750,USD
2016-12-09,1172.5,1173.8,1157.6,1161.9,162823,USD
2016-12-12,1161.4,1167.9,1152.5,1165.8,166798,USD
2016-12-13,1164.5,1167.0,1156.3,1159.0,142850,USD
2016-12-14,1159.8,1168.0,1140.0,1163.7,214400,USD
2016-12-15,1143.8,1146.0,1124.3,1129.8,281607,USD
2016-12-16,1130.5,1143.2,1128.5,1137.4,178640,USD
2016-12-19,1136.1,1144.4,1135.5,1142.7,119183,USD
2016-12-20,1139.8,1141.7,1127.3,1133.6,146050,USD
2016-12-21,1134.0,1138.8,1131.0,1133.2,114055,USD
2016-12-22,1133.2,1135.5,1128.6,1130.7,120321,USD
2016-12-23,1130.0,1137.3,1129.5,1133.6,74795,USD
2016-12-27,1135.3,1151.7,1132.8,1138.8,108454,USD
2016-12-28,1139.3,1145.1,1137.1,1140.9,112510,USD
2016-12-29,1143.1,1160.6,1142.6,1158.1,158029,USD
2016-12-30,1159.5,1164.3,1150.3,1151.7,143849,USD
2017-01-03,1151.4,1166.0,1146.5,1162.0,229177,USD
2017-01-04,1159.6,1168.6,1156.7,1165.3,179878,USD
2017-01-05,1164.6,1185.9,1163.6,1181.3,272124,USD
2017-01-06,1181.0,1183.8,1171.1,1173.4,226432,USD
2017-01-09,1172.9,1186.4,1172.2,1184.9,179034,USD
2017-01-10,1181.3,1190.6,1180.2,1185.5,224813,USD
2017-01-11,1188.1,1198.5,1177.0,1196.6,328686,USD
2017-01-12,1191.1,1207.2,1190.7,1199.8,269319,USD
2017-01-13,1194.8,1201.8,1187.5,1196.2,288619,USD
2017-01-16,1199.4,1218.9,1198.0,1212.9,381417,USD
2017-01-18,1216.8,1217.7,1201.8,1212.1,203645,USD
2017-01-19,1203.1,1206.4,1195.4,1201.5,247403,USD
2017-01-20,1204.8,1214.8,1198.2,1204.9,244343,USD
2017-01-23,1209.3,1219.4,1209.0,1215.6,237411,USD
2017-01-24,1218.0,1220.1,1206.2,1210.8,216007,USD
2017-01-25,1208.6,1209.3,1192.6,1197.8,299179,USD
2017-01-26,1200.7,1202.3,1183.9,1189.8,244314,USD
2017-01-27,1191.4,1193.8,1182.6,1191.1,143606,USD
2017-01-30,1194.6,1201.3,1190.0,1196.0,191770,USD
2017-01-31,1197.7,1217.4,1195.6,1211.4,246904,USD
2017-02-01,1212.2,1215.0,1199.7,1208.3,217088,USD
2017-02-02,1211.2,1227.5,1210.2,1219.4,232060,USD
2017-02-03,1217.8,1223.2,1208.3,1220.8,217983,USD
2017-02-06,1221.9,1237.5,1220.8,1232.1,197324,USD
2017-02-07,1236.9,1237.5,1229.2,1236.1,202305,USD
2017-02-08,1235.2,1246.6,1231.3,1239.5,221914,USD
2017-02-09,1242.7,1246.2,1226.1,1236.8,246135,USD
2017-02-10,1229.6,1238.9,1222.6,1235.9,240052,USD
2017-02-13,1234.2,1234.4,1220.3,1225.8,176619,USD
2017-02-14,1226.1,1236.0,1222.7,1225.4,233752,USD
2017-02-15,1228.6,1234.9,1217.5,1233.1,226707,USD
2017-02-16,1234.3,1243.7,1233.3,1241.6,203786,USD
2017-02-17,1240.8,1245.1,1235.3,1239.1,164405,USD
2017-02-20,1236.4,1240.2,1226.8,1238.9,259507,USD
2017-02-22,1236.9,1241.9,1231.5,1233.3,201341,USD
2017-02-23,1238.3,1252.2,1236.4,1251.4,264971,USD
2017-02-24,1250.6,1261.2,1248.8,1258.3,220127,USD
2017-02-27,1258.9,1264.9,1251.5,1258.8,208488,USD
2017-02-28,1253.3,1259.3,1248.2,1253.9,234939,USD
2017-03-01,1248.5,1251.4,1237.2,1250.0,318035,USD
2017-03-02,1249.9,1250.8,1231.1,1232.9,272763,USD
2017-03-03,1234.8,1236.7,1223.0,1226.5,272293,USD
2017-03-06,1233.9,1237.3,1225.0,1225.5,156981,USD
2017-03-07,1225.7,1227.4,1214.1,1216.1,203709,USD
2017-03-08,1215.6,1218.5,1206.4,1209.4,211111,USD
