date,value
2016-12-01,20335
2016-12-02,16186
2016-12-03,16345
2016-12-04,18558
2016-12-05,20236
2016-12-06,21592
2016-12-07,21302
2016-12-08,19749
2016-12-09,18331
2016-12-10,16070
2016-12-11,18775
2016-12-12,20749
2016-12-13,21101
2016-12-14,19341
2016-12-15,19242
2016-12-16,18364
2016-12-17,18930
2016-12-18,25718
2016-12-19,22945
2016-12-20,25531
2016-12-21,27288
2016-12-22,29448
2016-12-23,22045
2016-12-24,17925
2016-12-25,19894
2016-12-26,22525
2016-12-27,24151
2016-12-28,22502
2016-12-29,18971
2016-12-30,18483
2016-12-31,21071
2017-01-01,26461
2017-01-02,27269
2017-01-03,31611
2017-01-04,33407
2017-01-05,29065
2017-01-06,22717
2017-01-07,19595
2017-01-08,23277
2017-01-09,22918
2017-01-10,29228
2017-01-11,30387
2017-01-12,28785
2017-01-13,22367
2017-01-14,22232
2017-01-15,24103
2017-01-16,25648
2017-01-17,26491
2017-01-18,27848
2017-01-19,23365
2017-01-20,20833
2017-01-21,20816
2017-01-22,24809
2017-01-23,28304
2017-01-24,27278
2017-01-25,24366
2017-01-26,23178
2017-01-27,21300
2017-01-28,20789
2017-01-29,27170
2017-01-30,23711
2017-01-31,22600
2017-02-01,23547
2017-02-02,26694
2017-02-03,27112
2017-02-04,23530
2017-02-05,29026
2017-02-06,30138
2017-02-07,26445
2017-02-08,27886
2017-02-09,26096
2017-02-10,26759
2017-02-11,27211
2017-02-12,24621
2017-02-13,27568
2017-02-14,26945
2017-02-15,24357
2017-02-16,26355
2017-02-17,21344
2017-02-18,19946
2017-02-19,26113
2017-02-20,25187
2017-02-21,26751
2017-02-22,27929
2017-02-23,37286
2017-02-24,24005
2017-02-25,27326
2017-02-26,24703
2017-02-27,23501
2017-02-28,25248
2017-03-01,28277
2017-03-02,31848
2017-03-03,24535
2017-03-04,22507
2017-03-05,29476
2017-03-06,31214
2017-03-07,28463
2017-03-08,29362
2017-03-09,36952
2017-03-10,30193
2017-03-11,26226
2017-03-12,27414
2017-03-13,27110
2017-03-14,25560
2017-03-15,26412
2017-03-16,28612
2017-03-17,25964
2017-03-18,26859
2017-03-19,30480
2017-03-20,29659
2017-03-21,32507
2017-03-22,39969
2017-03-23,30279
2017-03-24,29728
2017-03-25,23985
2017-03-26,25216
2017-03-27,26462
2017-03-28,24593
2017-03-29,25723
2017-03-30,24542
2017-03-31,21680
2017-04-01,21011
2017-04-02,25315
2017-04-03,26979
2017-04-04,28967
2017-04-05,28251
2017-04-06,29445
2017-04-07,23272
2017-04-08,22661
2017-04-09,26562
2017-04-10,28441
2017-04-11,29250
2017-04-12,27278
2017-04-13,25953
2017-04-14,22135
2017-04-15,23562
2017-04-16,28015
2017-04-17,28770
2017-04-18,26629
2017-04-19,29974
2017-04-20,28206
2017-04-21,27203
2017-04-22,25203
2017-04-23,29644
2017-04-24,33008
2017-04-25,29463
2017-04-26,32051
2017-04-27,28213
2017-04-28,25838
2017-04-29,27459
2017-04-30,34936
2017-05-01,35501
2017-05-02,31179
2017-05-03,34255
2017-05-04,29857
2017-05-05,25032
2017-05-06,26713
2017-05-07,29244
2017-05-08,44121
2017-05-09,40934
2017-05-10,35505
2017-05-11,35985
2017-05-12,33174
2017-05-13,40474
2017-05-14,32997
2017-05-15,35688
2017-05-16,33543
2017-05-17,33534
2017-05-18,34239
2017-05-19,32852
2017-05-20,34900
2017-05-21,44720
2017-05-22,48940
2017-05-23,47492
2017-05-24,51057
2017-05-25,49914
2017-05-26,39077
2017-05-27,33992
2017-05-28,41046
2017-05-29,41624
2017-05-30,47749
2017-05-31,39409
2017-06-01,35997
2017-06-02,30857
2017-06-03,38571
2017-06-04,38632
2017-06-05,51736
2017-06-06,43821
2017-06-07,37910
2017-06-08,38824
2017-06-09,34849
2017-06-10,36404
2017-06-11,42206
2017-06-12,43501
2017-06-13,41045
2017-06-14,45335
2017-06-15,41470
2017-06-16,35393
2017-06-17,33617
2017-06-18,38427
2017-06-19,41414
2017-06-20,40215
2017-06-21,37617
2017-06-22,42760
2017-06-23,42760
2017-06-24,42760
2017-06-25,42760
2017-06-26,42760
2017-06-27,42760
2017-06-28,42760
2017-06-29,42760
2017-06-30,42760
2017-07-01,42760
2017-07-02,42760
2017-07-03,42760
2017-07-04,42760
2017-07-05,42760
2017-07-06,42760
2017-07-07,42760
2017-07-08,42760
2017-07-09,42760
2017-07-10,42760
2017-07-11,41059
2017-07-12,37788
2017-07-13,36999
2017-07-14,35882
2017-07-15,35044
2017-07-16,42841
2017-07-17,38869
2017-07-18,40774
2017-07-19,42878
2017-07-20,41888
2017-07-21,36424
2017-07-22,36108
2017-07-23,44080
2017-07-24,44885
2017-07-25,47880
2017-07-26,49367
2017-07-27,46138
2017-07-28,35823
2017-07-29,37073
2017-07-30,45510
2017-07-31,52376
2017-08-01,50050
2017-08-02,47758
2017-08-03,47503
2017-08-04,48992
2017-08-05,36187
2017-08-06,46630
2017-08-07,53994
2017-08-08,48611
2017-08-09,45181
2017-08-10,49242
2017-08-11,44387
2017-08-12,47827
2017-08-13,57531
2017-08-14,65447
2017-08-15,53779
2017-08-16,71870
2017-08-17,61067
2017-08-18,51709
2017-08-19,58268
2017-08-20,53402
2017-08-21,59244
2017-08-22,59293
2017-08-23,63067
2017-08-24,58723
2017-08-25,50258
2017-08-26,47358
2017-08-27,53173
2017-08-28,60452
2017-08-29,57072
2017-08-30,58244
2017-08-31,67953
2017-09-01,53177
2017-09-02,49077
2017-09-03,77422
2017-09-04,61290
2017-09-05,57051
2017-09-06,51603
2017-09-07,57797
2017-09-08,54796
2017-09-09,52629
2017-09-10,61659
2017-09-11,64321
2017-09-12,73211
2017-09-13,81128
2017-09-14,78373
2017-09-15,64396
2017-09-16,52831
2017-09-17,73426
2017-09-18,71751
2017-09-19,59979
2017-09-20,61443
2017-09-21,63652
2017-09-22,56876
2017-09-23,55081
2017-09-24,72699
2017-09-25,61973
2017-09-26,65959
2017-09-27,70657
2017-09-28,76874
2017-09-29,56280
2017-09-30,58917
2017-10-01,66945
2017-10-02,70772
2017-10-03,76296
2017-10-04,61290
2017-10-05,68406
2017-10-06,76111
2017-10-07,63113
2017-10-08,73002
2017-10-09,79373
2017-10-10,68320
2017-10-11,106779
2017-10-12,99372
2017-10-13,83670
2017-10-14,93320
2017-10-15,77238
2017-10-16,80151
2017-10-17,71392
2017-10-18,85571
2017-10-19,94627
2017-10-20,66998
2017-10-21,74513
2017-10-22,86442
2017-10-23,74472
2017-10-24,72426
2017-10-25,67679
2017-10-26,69197
2017-10-27,59449
2017-10-28,64396
2017-10-29,73018
2017-10-30,86043
2017-10-31,89885
2017-11-01,92923
2017-11-02,77953
2017-11-03,73373
2017-11-04,67196
2017-11-05,72577
2017-11-06,64461
2017-11-07,81551
2017-11-08,81241
2017-11-09,80481
2017-11-10,68892
2017-11-11,71176
2017-11-12,73373
2017-11-13,71630
2017-11-14,79934
2017-11-15,87538
2017-11-16,83410
2017-11-17,68192
2017-11-18,72762
2017-11-19,102144
2017-11-20,87110
2017-11-21,78405
2017-11-22,75047
2017-11-23,69886
2017-11-24,71625
2017-11-25,80943
2017-11-26,98413
2017-11-27,106360
2017-11-28,128781
2017-11-29,103190
2017-11-30,105017
2017-12-01,88292
2017-12-02,83022
2017-12-03,97945
2017-12-04,103919
2017-12-05,116856
2017-12-06,155600
2017-12-07,124260
2017-12-08,114109
2017-12-09,100455
2017-12-10,128425
2017-12-11,113215
2017-12-12,98863
2017-12-13,109628
2017-12-14,105711
2017-12-15,82782
2017-12-16,84441
2017-12-17,97245
2017-12-18,83423
2017-12-19,101169
2017-12-20,105591
2017-12-21,124670
2017-12-22,100098
2017-12-23,70864
2017-12-24,64029
2017-12-25,77648
2017-12-26,78968
2017-12-27,79968
2017-12-28,77151
2017-12-29,71377
2017-12-30,64989
2017-12-31,62044
2018-01-01,77723
2018-01-02,79086
2018-01-03,74534
2018-01-04,76404
2018-01-05,62977
2018-01-06,67259
2018-01-07,30585
2018-01-08,80932
2018-01-09,82357
2018-01-10,100333
2018-01-11,80737
2018-01-12,63396
2018-01-13,65657
2018-01-14,76852
2018-01-15,102135
2018-01-16,111394
2018-01-17,100366
2018-01-18,57244
2018-01-19,75149
