Mois,Attention
2016-12,7
2017-01,7
2017-02,6
2017-03,7
2017-04,6
2017-05,15
2017-06,14
2017-07,13
2017-08,20
2017-09,21
2017-10,23
2017-11,45
2017-12,100
2018-01,57
2018-02,41
2018-03,23
2018-04,19
2018-05,14
2018-06,13
2018-07,13
2018-08,13
2018-09,12
2018-10,10
2018-11,14
2018-12,13
2019-01,10
2019-02,9
2019-03,9
2019-04,12
2019-05,17
2019-06,20
2019-07,18
2019-08,16
2019-09,13
2019-10,12
2019-11,12
2019-12,11
2020-01,12
2020-02,14
2020-03,19
2020-04,16
2020-05,19
2020-06,13
2020-07,14
2020-08,15
2020-09,13
2020-10,14
2020-11,22
2020-12,31
2021-01,66
2021-02,66
2021-03,49
2021-04,52
2021-05,66
2021-06,45
2021-07,31
2021-08,31
2021-09,31
2021-10,35
2021-11,34
2021-12,35
2022-01,41
2022-02,36
